time,uol,wol,uol_block,wol_block,upi,wpi,upi_block,wpi_block,upid,wpid,upid_block,wpid_block,upid_backward,wpid_backward,r
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0.001,0,0.001,0,0.101,0,0.101,0,0.103,0,1
1.1,1,0,1,0,0.003,0,0.003,0,0.003,0,0.003,0,0.005,0,1
1.2,1,0.2,1,0.2,0.0049998,0.0002,0.0049998,0.0002,0.00295979999999999,0.0202,0.00295979999999999,0.0202,0.00487819999999999,0.0206,1
1.3,1,0.594,1,0.594,0.006998606,0.000994,0.006998606,0.000994,0.00489980600000001,0.040394,0.00489980600000001,0.040394,0.00673585399999999,0.041582,1
1.4,1,1.17214,1,1.17214,0.0089948519,0.0027601,0.0089948519,0.0027601,0.00684143589999999,0.0601661,0.00684143589999999,0.0601661,0.00859694782,0.06249406,1
1.5,1,1.920937,1,1.920937,0.0109862389406,0.0058528594,0.0109862389406,0.0058528594,0.0087446768206,0.0795090394,0.0087446768206,0.0795090394,0.0104215987022,0.0832859726,1
1.6,1,2.823592862,1,2.823592862,0.012969790028822,0.010596052378,0.012969790028822,0.010596052378,0.010609478780822,0.098424622578,0.010609478780822,0.098424622578,0.012209826045278,0.103911137374,1
1.7,1,3.86036612074,1,3.86036612074,0.0149419180068491,0.0172759695949,0.0149419180068491,0.0172759695949,0.0124366000399251,0.1169155910289,0.0124366000399251,0.1169155910289,0.0139624598966859,0.1243194902987,1
1.8,1,5.0089996059054,1,5.0089996059054,0.0168985066302112,0.0261354070430218,0.0168985066302112,0.0261354070430218,0.0142267999674337,0.134985548806362,0.0142267999674337,0.134985548806362,0.0156803327637394,0.14445855286976,1
1.9,1,6.24519469087689,1,6.24519469087689,0.0188350027527849,0.0373684703832528,0.0188350027527849,0.0373684703832528,0.0159808227521199,0.152639032919701,0.0159808227521199,0.152639032919701,0.0173642606312749,0.164274681838991,1
2,1,7.54312213125995,1,7.54312213125995,0.0207465179744746,0.05111630792705,0.0207465179744746,0.05111630792705,0.0176993974163631,0.169881564417238,0.0176993974163631,0.169881564417238,0.019015040329372,0.183714330723924,1
2.1,1,8.8759588156758,1,8.8759588156758,0.0226279377987542,0.0674638677933487,0.0226279377987542,0.0674638677933487,0.0193832381618386,0.186719676055295,0.0193832381618386,0.186719676055295,0.0206334473703537,0.202725293695417,1
2.2,1,10.2164393325077,1,10.2164393325077,0.0244740361759224,0.0864377550384268,0.0244740361759224,0.0864377550384268,0.0210330447162668,0.203160916226255,0.0210330447162668,0.203160916226255,0.0222202339753495,0.221257906363016,1
2.3,1,11.537411065758,1,11.537411065758,0.0262795931777875,0.108005243096478,0.0262795931777875,0.108005243096478,0.0226495026735802,0.219213829368137,0.0226495026735802,0.219213829368137,0.0237761273279969,0.23926617919201,1
2.4,1,12.8123815724942,1,12.8123815724942,0.0280395134635949,0.132074471096196,0.0280395134635949,0.132074471096196,0.0242332838265381,0.234887913551245,0.0242332838265381,0.234887913551245,0.0253018280942542,0.256708840922672,1
2.5,1,14.0160472604999,1,14.0160472604999,0.0297489431575177,0.15849583498093,0.0297489431575177,0.15849583498093,0.0257850464909979,0.25019355639034,0.0257850464909979,0.25019355639034,0.0267980092414348,0.273550271447334,1
2.6,1,15.1247928701011,1,15.1247928701011,0.0314033827662111,0.187064556325699,0.0314033827662111,0.187064556325699,0.0273054358211118,0.265141950855834,0.0273054358211118,0.265141950855834,0.0282653151829694,0.289761306088469,1
2.7,1,16.1171519567522,1,16.1171519567522,0.0329987938210904,0.217524388795013,0.0329987938210904,0.217524388795013,0.0287950841147945,0.279744992946479,0.0287950841147945,0.279744992946479,0.0297043612683099,0.305319896055422,1
2.8,1,16.9742194548277,1,16.9742194548277,0.0345316970334897,0.249572398805711,0.0345316970334897,0.249572398805711,0.0302546111088951,0.294015163531338,0.0302546111088952,0.294015163531338,0.0311157336299746,0.320211612976972,1
2.9,1,17.6800084584345,1,17.6800084584345,0.0359992599000573,0.282864734626647,0.0359992599000573,0.282864734626647,0.0316846242636103,0.307965396964092,0.0316846242636103,0.307965396964092,0.0324999893921494,0.334429988744218,1
3,1,18.2217445589456,1,18.2217445589456,0.0373993718881069,0.317023277323778,0.0373993718881069,0.317023277323778,0.0330857190357876,0.321608939312309,0.0330857190357876,0.321608939312309,0.0338576572376624,0.347976685382307,1
3.1,1,18.590092405581,1,18.590092405581,0.0387307055627026,0.351643048080547,0.0387307055627026,0.351643048080547,0.034458479140891,0.334959199224127,0.034458479140891,0.334959199224127,0.0351892383226981,0.36086149322705,1
3.2,1,18.7793105767266,1,18.7793105767266,0.0399927622847317,0.386300229890295,0.0399927622847317,0.386300229890295,0.0358034768035258,0.348029594571639,0.0358034768035258,0.348029594571639,0.0364952075214606,0.373102159239261,1
3.3,1,18.7873323361452,1,18.7873323361452,0.0411859014070543,0.420560647787063,0.0411859014070543,0.420560647787063,0.0371212729965491,0.360833398062577,0.0371212729965491,0.360833398062577,0.0377760149762839,0.384724050772458,1
3.4,1,18.6157713691313,1,18.6157713691313,0.0423113522183072,0.453988540960091,0.0423113522183072,0.453988540960091,0.0384124176689244,0.373383584999144,0.0384124176689244,0.373383584999144,0.039032087922548,0.395759663447319,1
3.5,1,18.2698531179376,1,18.2698531179376,0.0433712082248131,0.486155452534041,0.0433712082248131,0.486155452534041,0.0396774499626043,0.385692686286061,0.0396774499626043,0.385692686286061,0.0402638327523199,0.406247984911587,1
3.6,1,17.7582738326234,1,17.7582738326234,0.044368403713602,0.516649058677039,0.044368403713602,0.516649058677039,0.0409168984188476,0.397772649651172,0.0409168984188476,0.397772649651172,0.0414716372759925,0.4162337291148,1
3.7,1,17.0929908928862,1,17.0929908928862,0.0453066728967854,0.545081758139522,0.0453066728967854,0.545081758139522,0.0421312811744926,0.409634711844872,0.0421312811744926,0.409634711844872,0.0426558731374504,0.425766458247167,1
3.8,1,16.2889493099221,1,16.2889493099221,0.0461904922922703,0.571098846375576,0.0461904922922703,0.571098846375576,0.0433211061488137,0.421289284333577,0.0433211061488137,0.421289284333577,0.0438168983354888,0.434899611632643,1
3.9,1,15.3637505584107,1,15.3637505584107,0.0470250073408653,0.594386105029486,0.0470250073408653,0.594386105029486,0.0444868712216798,0.432745854703253,0.0444868712216798,0.432745854703253,0.0449550598024258,0.443689462587452,1
4,1,14.3372709933842,1,14.3372709933842,0.0478159445881503,0.614676647685446,0.0478159445881503,0.614676647685446,0.045629064403815,0.444012905648063,0.045629064403815,0.444012905648063,0.0460706959900886,0.452194025525735,1
4.1,1,13.2312380540286,1,13.2312380540286,0.0485695110642566,0.631756876208305,0.0485695110642566,0.631756876208305,0.0467481640000245,0.455097853043859,0.0467481640000245,0.455097853043859,0.0471641394136311,0.460471936392087,1
4.2,1,12.0687732287872,1,12.0687732287872,0.0492922827695384,0.645471418509863,0.0492922827695384,0.645471418509863,0.0478446387662964,0.466007004204454,0.0478446387662964,0.466007004204454,0.0482357191049379,0.468581329814848,1
4.3,1,10.8739113396118,1,10.8739113396118,0.0499910844131727,0.655726937855817,0.0499910844131727,0.655726937855817,0.048918948061723,0.476745536998749,0.048918948061723,0.476745536998749,0.0492857629296528,0.476578736202531,1
4.4,1,9.6711060878901,1,9.6711060878901,0.0506728627497955,0.662494725521401,0.0506728627497955,0.662494725521401,0.0499715419961967,0.487317500077545,0.0499715419961967,0.487317500077545,0.0503145997250737,0.484518021357312,1
4.5,1,8.4847319846599,1,8.4847319846599,0.0513445560119791,0.665812012294964,0.0513445560119791,0.665812012294964,0.0510028615748296,0.497725834028947,0.0510028615748296,0.497725834028947,0.0513225612202152,0.492449390072088,1
4.6,1,7.33859276155123,1,7.33859276155123,0.0520129620401244,0.665781959559748,0.0520129620401244,0.665781959559748,0.0520133388400281,0.50797241285948,0.0520133388400281,0.50797241285948,0.0523099837041548,0.500418473639019,1
